,Symbol,May 10 Year Trailing Average
0,AARTIIND,0.30995930337556904
1,ACC,-1.9756930117994231
2,ADANIENT,1.566734488602324
3,ADANIPORTS,2.0611547219940367
4,ALKEM,-2.6900145758751948
5,AMARAJABAT,0.8359282741729489
6,AMBUJACEM,0.5165449382583456
7,APLLTD,-1.6319934378413052
8,APOLLOHOSP,2.8249137391756456
9,APOLLOTYRE,-1.4034727726744667
10,ASHOKLEY,1.2337352909942212
11,ASIANPAINT,5.144291682558812
12,AUBANK,-9.349860180000688
13,AUROPHARMA,-2.707946562596665
14,AXISBANK,3.1345653428788305
15,BAJAJ-AUTO,0.05535303550206492
16,BAJAJFINSV,-2.0049384875787917
17,BAJFINANCE,3.9738174326060403
18,BALKRISIND,-1.8571260603263393
19,BANDHANBNK,-7.1487037228157115
20,BANKBARODA,-5.256158580942786
21,BATAINDIA,5.422520134685169
22,BEL,4.093969786879456
23,BERGEPAINT,5.713106805529343
24,BHARATFORG,-0.24243861559921118
25,BHARTIARTL,0.9405882529644981
26,BHEL,2.93764444811965
27,BIOCON,-3.1338473333309356
28,BOSCHLTD,6.24584578319417
29,BPCL,2.9650563622664117
30,BRITANNIA,5.780657780788132
31,CADILAHC,-1.0765043882999739
32,CANBK,0.6706947215823644
33,CHOLAFIN,1.3718744665258145
34,CIPLA,-2.8986415383204616
35,COALINDIA,2.2945000978924055
36,COFORGE,6.0810312799295705
37,COLPAL,6.516601495514152
38,CONCOR,4.891079415377137
39,CUB,5.544233542192369
40,CUMMINSIND,-1.8358812319312912
41,DABUR,2.877740971178897
42,DEEPAKNTR,9.399513930315376
43,DIVISLAB,-1.4017377751190883
44,DLF,2.810177408711253
45,DRREDDY,-1.9734047673319854
46,EICHERMOT,7.511044419889946
47,ESCORTS,2.408085871221272
48,EXIDEIND,2.640281223373546
49,FEDERALBNK,6.839516220700997
50,GAIL,-0.5774698018174338
51,GLENMARK,-1.8314398300234978
52,GMRINFRA,-2.6822125212417203
53,GODREJCP,4.303646631768796
54,GODREJPROP,1.107395935816038
55,GRANULES,-2.562556533573185
56,GRASIM,2.085748376134964
57,GUJGASLTD,-0.6316280223238291
58,HAVELLS,1.3260433837655472
59,HCLTECH,-2.921913590287136
60,HDFC,0.8143992233943476
61,HDFCAMC,-0.5288687850285467
62,HDFCBANK,4.6140507881926665
63,HDFCLIFE,4.871272253921462
64,HEROMOTOCO,4.45832841898995
65,HINDALCO,1.550179291745014
66,HINDPETRO,3.677820082440612
67,HINDUNILVR,3.2295910996111914
68,IBULHSGFIN,7.811870431243362
69,ICICIBANK,2.039083942946658
70,ICICIGI,3.3050762899063435
71,ICICIPRULI,1.307133422565951
72,IDEA,2.17032301860259
73,IDFCFIRSTB,-7.5538361843221296
74,IGL,-0.46583380179929684
75,INDIGO,-0.8174784558200731
76,INDUSINDBK,1.4565084114234175
77,INDUSTOWER,7.860470597016253
78,INFY,-0.20390879546153381
79,IOC,2.809169822185056
80,IRCTC,-1.4430040880675232
81,ITC,1.9721225506534728
82,JINDALSTEL,-1.1434963628871941
83,JSWSTEEL,-0.8101107123218068
84,JUBLFOOD,4.13233900947215
85,KOTAKBANK,4.463443969124368
86,L&TFH,0.8419729212408613
87,LALPATHLAB,-1.584425071316864
88,LICHSGFIN,1.5698672866876098
89,LT,4.724869980029153
90,LTI,7.175546807145155
91,LTTS,-0.4250301212435552
92,LUPIN,-2.9296453410557315
93,M&M,4.077098734238103
94,M&MFIN,0.947395654788933
95,MANAPPURAM,-1.8451911862775512
96,MARICO,5.904334169075227
97,MARUTI,1.426239536492443
98,MCDOWELL-N,2.1224562123790576
99,MFSL,1.6438142010586252
100,MGL,-3.6154571615658524
101,MINDTREE,6.078974888038433
102,MOTHERSUMI,1.6510372574024053
103,MPHASIS,8.074948338314147
104,MRF,0.3700750854216949
105,MUTHOOTFIN,3.740079900554226
106,NAM-INDIA,4.616923071362389
107,NATIONALUM,-0.8022415057925135
108,NAUKRI,4.577951552585719
109,NAVINFLUOR,3.278319730413776
110,NESTLEIND,2.5483294189877994
111,NMDC,-2.402993460419591
112,NTPC,0.9253718448484476
113,ONGC,0.6434854066006834
114,PAGEIND,7.715035177031783
115,PEL,1.4799707584115462
116,PETRONET,1.999734630493748
117,PFC,-1.7122598643645373
118,PFIZER,-2.33816525319912
119,PIDILITIND,2.523459954823626
120,PIIND,3.1249629651157975
121,PNB,-5.722972799234664
122,POWERGRID,1.3542341936515343
123,PVR,1.1329846523433327
124,RAMCOCEM,2.4572998208795385
125,RBLBANK,-3.1936067701837625
126,RECLTD,-3.538642773850877
127,RELIANCE,1.8451057923400804
128,SAIL,-2.511151600145742
129,SBILIFE,5.750849588242546
130,SBIN,-1.2180861772092302
131,SHREECEM,1.725764840678027
132,SIEMENS,3.0072410186738017
133,SRF,-2.4718476768763624
134,SRTRANSFIN,-0.2198057951543319
135,SUNPHARMA,-3.9571275143006566
136,SUNTV,-2.1053076637033863
137,TATACHEM,1.091009329956125
138,TATACONSUM,-1.851362725342153
139,TATAMOTORS,-6.541508316625553
140,TATAPOWER,1.8179148758828965
141,TATASTEEL,-2.0367647658869794
142,TCS,2.3081098512792835
143,TECHM,-1.0634212521872786
144,TITAN,2.624559994657428
145,TORNTPHARM,-1.5697384913935184
146,TORNTPOWER,-0.1054322195483524
147,TRENT,0.26038876258933835
148,TVSMOTOR,1.0817101699454827
149,UBL,0.6576572154610648
150,ULTRACEMCO,2.7296260956716187
151,UPL,7.474808526086707
152,VEDL,2.9835498758560046
153,VOLTAS,3.765325628362587
154,WIPRO,0.36795490128663905
155,ZEEL,0.5323458005246995
